"Date","SP500","R_10Y","DJUBSCOM","USDX"
"1999-01-25","-9.89199839089659","-10.081905300488","-9.79769386701259","-12.9715780656102"
"1999-01-26","-9.35329381788367","-10.090498389791","-11.4752118210033","-13.2374774805259"
"1999-01-27","-9.31461915563635","-10.1033191904187","-15.3171404149168","-9.74946451257885"
"1999-01-28","-8.99737014658675","-10.090498389791","-12.0440404363767","-10.8536096738775"
"1999-01-29","-8.85595468680411","-9.42609201791135","-12.928477325201","-11.7882809113908"
"1999-02-01","-10.2823949529188","-8.93620564232817","-12.8219297028853","-11.3084546393938"
"1999-02-02","-8.78657275171592","-11.1629586137729","-12.0487215512491","-11.1329278198078"
"1999-02-03","-9.23850326704964","-10.5938492320522","-11.6481351718037","-11.8788181168612"
"1999-02-04","-8.95177484934634","-9.00705053445834","-11.9335270000722","-10.2704750110816"
"1999-02-05","-9.31888787123829","-9.25283824644922","-12.6542624233407","-10.4450350387604"
"1999-02-08","-9.85428456465539","-10.1989732386676","-12.1903996596421","-11.173796560017"
"1999-02-09","-8.55945400669497","-10.1826629779301","-11.4336768752452","-12.4910834358842"
"1999-02-10","-9.82959458739574","-9.82005826883458","-13.2325292002062","-11.6589685911026"
"1999-02-11","-8.40335843301402","-10.1949081266441","-12.4601547136336","-10.7849904255793"
"1999-02-12","-8.56366588727865","-8.48616901797715","-12.0930182667026","-10.9898152792745"
"1999-02-16","-9.08069409048591","-9.30113241709563","-11.6350071974593","-11.0635448646445"
"1999-02-17","-8.56455404173685","-9.86054647703001","-12.9644856146856","-12.2684567553632"
"1999-02-18","-9.4202810330349","-9.55423948592128","-10.8835487174083","-11.1270427064648"
"1999-02-19","-9.73441400251846","-9.88840828620656","-12.0011439361865","-10.0687824944458"
"1999-02-22","-8.29667586942558","-9.88445171327888","-12.4995329479507","-10.9153752817046"
"1999-02-23","-9.64655630287407","-8.86275863736559","-11.0860054572433","-10.4828751047082"
"1999-02-24","-8.38377855119956","-9.09907173588605","-13.0831827592032","-10.6564030972316"
"1999-02-25","-8.57047020512204","-7.76473438671874","-11.9351176484383","-10.4798352430864"
"1999-02-26","-9.21901353926675","-9.16446544207524","-10.041380135584","-11.2267176310302"
"1999-03-01","-9.60371924481095","-8.60977152993156","-16.0739272518705","-10.5612432355683"
"1999-03-02","-8.70684314960857","-9.99987091317005","-12.2667764483988","-11.3800299931692"
"1999-03-03","-9.74378954029392","-8.97444036282114","-12.78087287627","-11.6889353150042"
"1999-03-04","-9.26542558807248","-10.0184760849029","-11.2780113408877","-10.7816785557479"
"1999-03-05","-8.55761376846886","-7.57292941762928","-12.1599024497811","-11.2548589693878"
"1999-03-08","-10.4989809644777","-10.784471600412","-7.54480133976624","-10.5070290808251"
"1999-03-09","-9.48542873972079","-8.12371413167369","-11.8747253705866","-12.3806254467921"
"1999-03-10","-10.3834533631614","-9.62504557753034","-9.49486385446683","-10.9270996904333"
"1999-03-11","-9.40385626425342","-9.63276038268738","-11.25218166213","-9.11211607601752"
"1999-03-12","-9.90499749507049","-9.9352865053609","-10.4235340745498","-10.9204373363968"
"1999-03-15","-9.75850076372473","-10.2863768656872","-12.3320240687686","-12.9801889530024"
"1999-03-16","-11.015346295202","-9.90807458440418","-10.9797402638078","-11.2301559904379"
"1999-03-17","-10.0918131076076","-9.59388526738493","-10.2361122628233","-14.0000204925961"
"1999-03-18","-9.10890611609113","-10.7150997973109","-10.0970716858233","-11.502163173458"
"1999-03-19","-8.94673696459196","-9.3366027961882","-11.0954475276784","-11.1576932865551"
"1999-03-22","-10.8382900866142","-10.7462291446304","-9.3299665283086","-11.6349034124482"
"1999-03-23","-7.96849183535678","-10.7500864647044","-11.5699937187976","-11.5137304046204"
"1999-03-24","-10.2351097820637","-10.2824857525086","-9.96639869493703","-10.9436460839227"
"1999-03-25","-9.2001698683903","-9.62117698616962","-9.76012621779678","-11.4430998580499"
"1999-03-26","-10.2442465829821","-9.62117698616962","-10.6333559030222","-9.96333581038299"
"1999-03-29","-8.6230132113603","-9.37911816795646","-10.8592014105506","-10.8086683040265"
"1999-03-30","-9.98773396396131","-9.95067153800175","-10.1579454395587","-11.8751715882852"
"1999-03-31","-8.71360308613969","-9.14162868264789","-11.0845497752114","-10.0935812855463"
"1999-04-01","-10.3749313968976","-9.38675206157489","-12.1408583699285","-11.5348648999397"
"1999-04-05","-8.74934010613504","-10.3018660524081","-12.2826578194916","-11.7906541836242"
"1999-04-06","-9.88193601619463","-9.91978220235628","-14.0450898802899","-10.1733797449703"
"1999-04-07","-9.72601717806346","-11.3002484544306","-10.6184451300435","-11.4243865874213"
"1999-04-08","-9.18371242339299","-8.68200189285131","-10.2462173226581","-9.91208490378888"
"1999-04-09","-9.88184273151956","-10.2391762742288","-10.4429230164799","-11.8279289936929"
"1999-04-12","-8.97424869385551","-10.6834782558775","-12.4840639162787","-11.6869260645327"
"1999-04-13","-9.62004978732322","-9.31697474672488","-12.3495030398115","-12.0103100203561"
"1999-04-14","-8.56538466104037","-11.2924282627795","-13.4600570021104","-12.5000684958028"
"1999-04-15","-9.03158844444905","-10.7307250357372","-11.6938263492887","-10.5769124449727"
"1999-04-16","-10.1623806660709","-10.7500864647044","-11.3782824042327","-11.2211014354695"
"1999-04-19","-7.34055012857806","-9.93914387326282","-11.998450715582","-10.8120585049493"
"1999-04-20","-9.16150453983176","-8.20553259749136","-13.7706293298128","-11.2264853203651"
"1999-04-21","-8.31886852604083","-10.2824857525086","-12.9620072098711","-11.8426620746024"
"1999-04-22","-9.18432166942592","-9.13011176324311","-13.513269272078","-11.2043914346878"
"1999-04-23","-10.0009282062354","-11.3427213305059","-14.0837881380157","-11.4353592385678"
"1999-04-26","-10.8744361128748","-9.38675206157489","-13.0497266968284","-12.1278725222089"
"1999-04-27","-10.0378581682646","-10.7616139876052","-12.9637066534261","-12.4584058853801"
"1999-04-28","-9.42285134370712","-10.7692622550465","-12.2676320538045","-11.2272817017569"
"1999-04-29","-9.44432893032142","-9.13395811031061","-13.6677141809409","-11.7960244009966"
"1999-04-30","-8.17412550456739","-7.6660808350724","-11.8646025975514","-11.4053810309758"
"1999-05-03","-8.93563432594989","-10.370120143762","-14.7017519262329","-12.5275891681842"
"1999-05-04","-9.06750261212985","-9.43567450446648","-13.9684381517365","-11.1072089074205"
"1999-05-05","-8.61385896578038","-10.8257105612608","-11.8197191025672","-10.2313998532718"
"1999-05-06","-8.91212829066625","-8.82275463652092","-10.9694810722623","-11.378020134135"
"1999-05-07","-10.1487210105434","-8.83739429976622","-11.5876962449271","-11.6481985750569"
"1999-05-10","-9.64232286838026","-9.49428885564711","-10.8128617898035","-10.478661818567"
"1999-05-11","-9.47354651834445","-9.49789583477913","-12.261366974799","-11.0278640033641"
"1999-05-12","-8.36687347992005","-9.77036499325295","-11.5675564668117","-10.5354459199351"
"1999-05-13","-10.4975048295794","-9.22044187579786","-13.0660136457807","-11.8416700077946"
"1999-05-14","-8.32793411132528","-7.20969121862806","-14.2576896590427","-10.5166095797714"
"1999-05-17","-9.54211570311023","-10.4683230406021","-13.9158035136885","-12.0278514184777"
"1999-05-18","-9.23111520645456","-8.89135792878088","-12.5066070811393","-12.1252908452559"
"1999-05-19","-9.72568962541264","-10.098343085026","-11.1491423941656","-11.270763720065"
"1999-05-20","-10.5143293706393","-10.8985790108202","-12.415174156681","-11.597485678858"
"1999-05-21","-10.0357002952395","-9.49067535938401","-12.1356422587062","-11.4907712558585"
"1999-05-24","-8.61885015212567","-9.48342872096057","-10.9287618169489","-11.6857893292169"
"1999-05-25","-8.35898722914602","-10.8624766338069","-11.4970686438366","-11.3086310760057"
"1999-05-26","-8.79790100290508","-9.48342872096057","-12.6276391527203","-10.1273011680723"
"1999-05-27","-8.72046863802331","-8.70128615887913","-10.8497484601248","-10.8476065442843"
"1999-05-28","-9.11279616446941","-9.79536596989597","-11.258041573944","-10.794384122736"
"1999-06-01","-9.31510195890355","-8.2921788526413","-12.5009036642042","-12.2601664253682"
"1999-06-02","-9.38530180361274","-9.85136402914854","-12.0213909651128","-10.444572058018"
"1999-06-03","-10.7626918955048","-10.1510248931377","-11.6347738487021","-10.8852872325864"
"1999-06-04","-8.70056939727561","-9.84444941964358","-10.9656799913286","-11.2113317279381"
"1999-06-07","-10.6980147699711","-10.5174058869525","-12.7346180414412","-11.9306816727958"
"1999-06-08","-9.24146439459853","-10.5243204138093","-11.530636720934","-9.32658120419765"
"1999-06-09","-10.5441372231009","-9.59976492689895","-11.6782321503282","-12.098458499067"
"1999-06-10","-8.90185557450929","-10.5686913727649","-10.5684431538703","-11.4563382094773"
"1999-06-11","-8.99535014604914","-8.66434033873783","-10.5198781060022","-10.9960835864464"
"1999-06-14","-10.791909768212","-10.585498392173","-11.5960229538086","-10.36540564013"
"1999-06-15","-9.7247568069971","-10.2057301175309","-13.8885871939826","-12.3736545842753"
"1999-06-16","-8.47425702625305","-9.6202086679431","-10.1470595166395","-12.7585410295929"
"1999-06-17","-9.3404847662969","-8.21679888621615","-12.2682790467036","-11.7862040607178"
"1999-06-18","-10.6297182826259","-10.9723368783786","-17.6281144933526","-10.5974734392757"
"1999-06-21","-10.5522184010613","-8.97137348194922","-12.9148218270959","-10.7237087812898"
"1999-06-22","-9.93011189610691","-10.5686913727649","-11.7288161346798","-11.9691725461075"
"1999-06-23","-10.2235139331658","-9.19749459727014","-12.1445758522605","-11.4454414823308"
"1999-06-24","-8.98607262070926","-9.9292098556223","-13.5942220831766","-10.6752989949616"
"1999-06-25","-9.78545756274248","-10.5921818512405","-12.7440374184519","-11.6541326670004"
"1999-06-28","-9.57498052870425","-9.91588727315894","-12.8271211540646","-12.0100859624062"
"1999-06-29","-9.13907951543536","-10.209100015663","-14.4126986330701","-12.1628904701679"
"1999-06-30","-8.38162147128287","-7.99822373517537","-9.85689941496528","-11.3037575892847"
"1999-07-01","-9.28450759691262","-8.97137348194922","-10.9278501630998","-9.76163747552137"
"1999-07-02","-10.5757343279222","-10.5346475866043","-13.7633211573596","-12.5737933346135"
"1999-07-06","-9.69790477277683","-10.1887949239143","-12.1507563420198","-11.9862476447791"
"1999-07-07","-10.7105595025124","-11.5801978668364","-11.4985485793109","-12.1334959799952"
"1999-07-08","-9.88612991201615","-8.97818239700059","-10.5672231959651","-11.2323968899662"
"1999-07-09","-11.1425886042196","-10.5312111173695","-11.1600060195889","-11.4308339713667"
"1999-07-12","-10.5186913327011","-8.76467646326938","-12.5896006708796","-11.4379405158225"
"1999-07-13","-10.484567423523","-9.81303437974705","-11.5024897283887","-10.8852249318462"
"1999-07-14","-10.2863969625675","-10.1301183986915","-11.6565833571831","-10.7280330886882"
"1999-07-15","-10.5989912049182","-10.1301183986915","-10.180517226768","-11.4957178076492"
"1999-07-16","-10.6048141229236","-10.9269989110834","-12.3819004250416","-12.5196872151493"
"1999-07-19","-10.0087927904975","-12.3062323334282","-13.1624171896544","-9.12046340620648"
"1999-07-20","-8.5324376326854","-9.80598573556096","-10.3480672170614","-10.2956613150512"
"1999-07-21","-10.1956272938709","-11.4935288032703","-11.0166084901652","-10.2050751095383"
"1999-07-22","-8.9966345907549","-8.29568803051538","-10.4437594357775","-10.4447436557104"
"1999-07-23","-9.72295630555786","-10.5312111173695","-9.88048729741387","-11.2790633557309"
"1999-07-26","-10.4011376240912","-10.9929204119514","-12.2824931321475","-9.73177058482025"
"1999-07-27","-9.36242833258625","-10.5312111173695","-11.5040494863463","-11.9268313344983"
"1999-07-28","-10.0390287586281","-11.5459796021844","-13.0826492830939","-10.709731412029"
"1999-07-29","-8.46578369994823","-8.97137348194922","-11.299929860786","-10.6720911988739"
"1999-07-30","-9.19844134257051","-11.0099129984522","-11.3056567958485","-11.6903405902607"
"1999-08-02","-9.47336346806424","-9.18404853545046","-11.2767745159272","-11.4207824234665"
